-0.162,-0.070,-0.206,0.572,-0.123,-0.123,0.341,1,
0.009,0.173,-0.496,-1.200,1.357,1.357,0.341,1,
0.471,0.090,-1.238,-1.507,2.288,2.288,0.341,1,
0.010,0.100,-0.312,-1.146,2.058,2.058,0.341,1,
-0.179,0.025,-0.104,0.625,-0.324,-0.324,0.341,1,
-0.004,-0.022,-0.251,-2.154,2.457,2.457,0.341,1,
0.418,0.430,-1.023,-2.681,1.352,1.352,0.341,1,
-0.100,-0.009,-0.185,-0.124,0.831,0.831,0.341,1
0.911,1.010,1.027,1.609,0.886,0.886,0.634,-1,
-0.020,-0.038,-0.404,1.177,-0.815,-0.815,0.634,-1,
0.156,0.068,-0.581,-1.166,0.886,0.886,0.634,-1,
-0.096,-0.143,-0.911,-0.088,0.109,0.109,0.634,-1,
0.010,0.217,-0.216,-0.618,1.334,1.334,0.634,-1,
-0.078,-0.004,-0.206,-0.810,0.725,0.725,0.634,-1,
0.599,0.478,-1.348,-2.395,1.001,1.001,0.634,-1,
0.313,0.421,-1.068,-2.657,1.358,1.358,0.634,-1,
0.526,0.388,-1.031,-1.785,2.477,2.477,0.634,-1,
0.182,0.048,-0.637,-2.446,1.629,1.629,0.634,-1,
0.071,-0.093,-0.219,-1.692,2.023,2.023,0.634,-1,
-0.208,-0.072,0.111,-1.205,1.077,1.077,0.634,-1,
0.558,0.361,-1.024,-2.422,2.087,2.087,0.634,-1,
-0.146,-0.203,-0.115,-0.243,1.047,1.047,0.634,-1,
-0.394,-0.209,0.145,-0.192,0.436,0.436,0.634,-1,
0.007,0.194,-0.513,-3.352,2.071,2.071,0.634,-1,
0.027,0.131,-0.324,-2.165,2.346,2.346,0.634,-1,
0.221,0.149,-0.474,-2.171,2.001,2.001,0.634,-1,
0.073,-0.195,-0.657,-1.689,1.226,1.226,0.634,-1,
-0.200,-0.037,-0.118,-3.267,1.860,1.860,0.347,1
1.077,1.254,0.875,-1.431,2.370,2.370,0.757,-1,
-0.039,0.105,-0.237,-2.241,1.413,1.413,0.757,-1,
-0.183,-0.136,-0.108,0.782,0.142,0.142,0.757,-1,
0.012,-0.077,-0.337,-1.715,0.959,0.959,0.757,-1,
-0.127,-0.147,-0.215,1.086,-0.411,-0.411,0.757,-1,
-0.082,-0.170,-0.179,-0.985,0.852,0.852,0.757,-1,
-0.101,0.002,-0.179,0.365,0.339,0.339,0.757,-1,
0.025,-0.040,-0.407,-1.646,0.533,0.533,0.757,-1,
-0.122,-0.147,-0.163,0.717,0.112,0.112,0.757,-1,
-0.118,-0.180,-0.158,0.110,0.576,0.576,0.757,-1,
0.109,-0.235,-0.353,-1.894,-0.522,-0.522,0.757,-1,
-0.091,0.161,-0.320,-3.304,1.337,1.337,0.757,-1,
-0.155,-0.182,-0.169,0.006,0.408,0.408,0.757,-1,
-0.092,0.049,-0.295,1.137,0.147,0.147,0.757,-1,
-0.005,0.058,-0.501,0.481,-0.031,-0.031,0.757,-1,
0.056,0.000,-0.374,-0.903,-0.012,-0.012,0.757,-1,
0.048,-0.128,-0.378,0.510,-0.258,-0.258,0.757,-1,
0.018,-0.154,-0.893,-0.506,0.350,0.350,0.757,-1,
0.000,0.026,-0.435,-1.666,0.203,0.203,0.757,-1,
0.035,-0.196,-0.302,0.180,-0.181,-0.181,0.757,-1,
-0.014,-0.093,-0.295,-2.562,0.560,0.560,0.757,-1,
0.005,-0.372,-0.142,0.041,-0.424,-0.424,0.757,-1,
0.070,-0.311,-0.203,1.447,-0.606,-0.606,0.757,-1
0.087,-0.316,-0.153,0.891,-0.179,-0.179,0.320,1,
0.060,-0.117,0.438,-2.409,-0.413,-0.413,0.320,1,
-0.006,-0.037,0.314,1.223,0.133,0.133,0.320,1,
0.091,-0.199,0.162,0.347,-0.474,-0.474,0.320,1,
-1.542,-0.049,-0.169,-1.646,1.128,1.128,0.320,-1,
0.168,-0.003,0.153,-1.641,0.219,0.219,0.634,-1,
1.144,0.364,0.110,-2.851,-1.332,-1.332,0.634,-1,
0.121,-0.661,0.142,0.233,-0.397,-0.397,0.634,-1,
-0.026,-0.215,-0.100,-2.828,0.176,0.176,0.634,-1,
0.094,-0.517,0.133,-2.107,-0.147,-0.147,0.634,-1,
-0.003,0.123,-0.297,-3.684,-0.231,-0.231,0.634,-1,
0.095,0.036,-0.119,-2.381,0.232,0.232,0.634,-1,
