0.297,0.030,-1.280,0.558,0.599,0.264,-8.616,30.600,-25.116,289.611,282.960,267.061,0.074,0.805,0.652,0.466,2,1,2,
0.138,0.072,-1.185,0.197,0.234,0.092,-7.152,30.300,-22.956,281.428,278.323,260.959,0.107,0.810,0.667,0.466,2,1,2
0.365,-0.125,-1.349,-0.283,0.097,-0.313,6.360,-22.296,-25.320,103.483,125.977,114.889,0.014,1.328,0.837,0.480,0,1,3,
0.179,-0.088,-1.489,-0.351,0.277,-0.177,4.716,-23.256,-26.160,96.236,126.430,124.988,0.127,2.092,1.188,0.480,0,1,3,
0.162,-0.105,-1.339,-0.134,0.421,-0.167,-1.116,-22.152,-29.520,83.900,111.810,125.058,0.203,0.990,0.777,0.480,0,1,2,
0.035,-0.154,-1.177,0.289,-0.262,-0.257,-4.536,-22.104,-31.800,68.483,102.872,128.702,0.100,1.003,0.741,0.480,0,1,2,
0.160,-0.095,-1.087,-0.234,-0.002,0.179,-6.348,-25.824,-36.972,74.656,93.055,137.881,0.022,0.787,0.624,0.793,0,1,2,
0.252,-0.010,-1.413,0.005,0.011,-0.156,-7.200,-27.444,-39.804,74.951,80.744,140.714,0.093,0.980,0.729,0.793,0,1,2,
0.165,-0.052,-1.610,-0.053,0.292,-0.210,-1.632,-27.396,-38.604,83.189,78.791,148.157,0.136,1.031,0.767,0.793,0,1,2,
0.229,0.033,-1.076,0.183,-0.249,-1.543,16.596,23.880,-23.616,228.444,225.417,282.704,0.102,0.574,0.571,0.793,0,1,2,
0.290,-0.046,-1.361,-0.104,-0.114,0.262,-0.852,30.696,-25.764,276.613,272.764,333.156,0.018,0.985,0.701,0.793,0,1,2,
0.303,0.001,-1.094,-0.313,0.374,-0.225,6.828,37.800,-28.380,254.769,271.494,342.184,0.039,0.809,0.639,0.793,0,1,2,
0.347,-0.024,-1.240,-1.024,-0.210,-0.099,9.312,39.564,-34.716,254.780,268.054,346.982,0.026,1.008,0.714,0.793,0,1,2,
0.417,-0.210,-1.278,0.254,0.175,0.062,-3.840,42.948,-39.516,288.399,279.131,215.871,0.068,0.992,0.724,0.793,0,1,2,
0.344,0.090,-1.272,-0.111,0.013,-0.069,-11.556,41.436,-42.252,288.569,286.675,7.929,0.147,0.995,0.757,0.793,0,1,2,
0.395,-0.016,-1.525,-0.260,0.086,-0.169,-13.692,40.464,-43.140,293.104,292.178,13.537,0.069,0.969,0.715,0.793,0,1,2,
0.286,0.048,-1.396,0.124,-0.229,-1.248,-21.108,29.952,-46.992,316.189,326.376,54.961,0.082,1.000,0.733,0.793,0,1,2,
0.230,-0.057,-1.095,0.211,-0.159,-1.095,-22.812,-5.016,-55.344,36.130,37.406,144.150,0.038,1.030,0.727,0.793,0,1,2,
0.207,-0.105,-1.200,-0.075,-0.149,-0.143,9.108,-22.200,-49.980,98.351,91.907,210.868,0.007,0.799,0.623,0.793,0,1,2,
0.337,-0.084,-1.234,-0.362,0.297,0.327,10.128,-21.252,-44.028,100.806,89.459,212.822,0.081,1.010,0.736,0.793,0,1,2
0.249,-0.150,-1.201,-0.056,0.399,0.129,7.836,-22.620,-32.964,93.476,96.226,233.383,0.139,2.041,1.172,0.315,0,1,3,
0.106,-0.107,-1.375,-0.119,-0.153,-0.057,6.780,-23.424,-32.712,100.331,95.029,235.669,0.088,1.946,1.114,0.629,0,1,3,
0.115,-0.066,-1.221,-0.290,-0.406,-0.295,4.320,-21.648,-36.348,98.242,97.776,244.752,0.067,0.990,0.723,0.629,0,1,2,
0.090,-0.013,-1.177,0.133,-0.031,-1.110,14.016,-29.592,-43.548,111.213,110.540,270.484,0.034,0.672,0.582,0.629,0,1,2,
0.088,-0.068,-1.056,0.162,0.365,-2.102,39.228,4.416,-40.308,176.928,186.413,347.038,0.012,1.323,0.834,0.629,0,1,3,
0.262,0.022,-1.042,-0.073,0.156,-1.556,3.780,56.904,-33.624,265.206,275.123,76.549,0.012,1.006,0.707,0.629,0,1,2,
0.101,-0.087,-1.199,-0.572,0.349,0.233,-10.056,53.388,-45.288,285.635,281.379,78.612,0.014,0.801,0.626,0.629,0,1,2,
0.127,-0.026,-1.331,-0.248,-0.036,0.403,-13.560,49.188,-44.904,289.057,284.018,80.823,0.021,1.005,0.710,0.629,0,1,2,
0.104,-0.116,-1.271,-0.173,-0.063,-0.015,-14.352,45.972,-42.600,292.132,287.953,83.805,0.071,0.994,0.726,0.629,0,1,2,
0.137,0.027,-1.208,-0.128,0.523,-0.227,-23.628,41.004,-39.192,300.286,299.722,96.423,0.091,1.005,0.738,0.629,0,1,2,
